@relation Dataset

@attribute AN1 numeric
@attribute AN2 numeric
@attribute AN3 numeric
@attribute AN4 numeric
@attribute AN5 numeric
@attribute AN6 numeric
@attribute MGY numeric
@attribute MGZ numeric
@attribute class {1,2,3,4,5}

@data
16,25,15,15,7,9,10,-35,3
17,23,10,16,7,10,-1,-34,3
26,25,12,15,10,10,4,-35,3
20,28,15,11,3,7,9,-35,3
19,30,25,7,8,8,3,-35,3
26,31,29,13,9,9,6,-35,3
27,24,26,12,12,5,0,-35,3
23,33,30,15,11,7,4,-35,3
19,28,25,4,10,4,8,-34,3
25,31,27,8,13,3,6,-35,3
23,29,13,7,21,2,2,-34,3
26,22,19,10,22,7,14,-35,3
30,30,20,12,15,10,19,-34,3
33,29,21,12,17,6,8,-34,3
28,30,18,6,16,4,16,-36,3
25,26,19,15,21,4,18,-37,3
26,22,16,8,20,5,15,-38,3
29,27,15,8,13,6,19,-37,3
27,26,18,6,14,3,19,-36,3
23,26,18,2,12,1,17,-33,3
31,25,17,8,25,8,24,-31,3
27,25,20,7,30,5,16,-30,3
27,29,19,3,13,4,21,-31,3
18,26,19,2,22,-1,17,-32,3
21,29,17,2,24,4,15,-33,3
27,26,19,1,21,2,13,-35,3
25,23,24,7,23,5,25,-36,3
25,23,14,7,15,4,11,-36,3
17,26,16,4,9,6,6,-35,3
21,21,11,7,2,3,7,-33,3
19,22,20,6,10,6,9,-32,3
16,22,19,12,10,6,8,-31,3
23,25,21,9,9,6,7,-32,3
14,20,18,-1,7,1,4,-32,3
12,20,19,5,8,5,4,-35,3
17,22,17,8,10,7,9,-37,3
19,22,12,5,4,5,8,-37,3
19,20,18,13,6,8,11,-36,3
7,23,13,6,3,5,12,-35,3
13,26,20,3,1,4,3,-34,3
16,29,18,7,10,8,6,-34,3
14,24,18,3,3,12,1,-34,3
8,13,20,6,0,7,4,-33,3
13,22,26,13,7,8,6,-34,3
9,25,19,9,4,1,-1,-33,3
11,19,23,12,5,10,4,-34,3
3,20,24,4,-3,5,-6,-35,3
7,21,16,6,-3,5,-6,-35,3
3,8,10,6,-4,3,-11,-36,3
10,25,28,9,-1,11,-4,-36,3
7,24,27,7,-4,6,-6,-36,3
6,10,17,13,-8,2,-11,-37,3
9,18,7,14,-6,4,-5,-36,3
12,20,13,5,-13,6,-10,-36,3
18,19,15,7,2,3,-8,-36,3
14,21,16,3,-1,4,-16,-37,3
15,21,24,6,4,12,3,-36,3
11,24,18,6,1,0,-5,-37,3
14,23,19,7,12,5,6,-36,3
22,26,24,7,13,5,6,-36,3
27,32,22,13,15,4,12,-36,3
30,32,20,9,7,4,20,-35,3
25,33,25,9,9,4,8,-34,3
30,32,25,14,19,9,20,-34,3
22,19,18,10,10,1,12,-34,3
27,31,22,3,8,3,16,-34,3
24,22,23,12,3,4,9,-35,3
25,26,20,15,19,13,12,-35,3
22,25,14,12,12,3,9,-34,3
30,21,15,4,16,6,21,-35,3
27,23,13,3,20,3,10,-33,3
28,26,17,6,21,0,18,-33,3
27,28,14,8,24,1,19,-32,3
25,27,14,5,17,2,15,-32,3
22,17,14,5,14,-1,19,-33,3
25,23,16,7,20,6,22,-34,3
21,23,19,4,15,4,18,-35,3
29,24,23,7,18,4,14,-37,3
23,22,16,9,11,5,9,-36,3
14,17,12,10,6,-2,9,-37,3
25,13,13,0,3,3,3,-36,3
24,23,18,10,6,7,8,-35,3
22,20,13,5,5,5,13,-35,3
17,24,17,13,9,8,12,-34,3
18,27,14,11,10,13,13,-33,3
21,22,17,11,9,7,16,-31,3
11,14,12,14,15,8,7,-29,3
20,23,16,9,2,5,7,-26,3
19,27,16,13,6,12,15,-23,3
8,23,13,3,4,5,1,-25,3
17,27,14,10,9,7,11,-24,3
19,30,19,18,9,12,12,-29,3
15,27,16,12,3,7,4,-33,3
16,27,17,10,5,9,6,-35,3
11,24,23,11,4,11,0,-36,3
14,23,15,15,-8,10,-2,-37,3
13,18,22,13,5,11,3,-37,3
15,17,18,15,4,10,1,-37,3
14,22,16,12,6,9,0,-37,3
22,24,19,14,4,12,0,-37,3
23,27,18,9,15,13,11,-36,3
28,32,25,12,17,13,2,-36,3
27,32,20,12,14,11,16,-36,3
32,31,23,12,14,10,15,-36,3
35,37,25,15,14,11,15,-34,3
28,23,14,2,31,3,30,-37,5
30,29,14,6,27,1,29,-37,5
37,25,17,7,29,3,22,-37,5
36,28,12,8,28,5,28,-37,5
30,24,16,8,29,2,24,-36,5
30,13,18,7,26,5,26,-36,5
35,29,15,8,34,4,30,-37,5
35,20,15,6,29,0,30,-35,5
30,22,19,6,30,0,25,-35,5
31,21,20,7,29,3,26,-34,5
39,24,9,6,35,5,24,-33,5
41,14,9,6,32,3,24,-33,5
41,17,17,6,35,3,29,-32,5
39,16,18,8,28,4,26,-33,5
31,16,13,5,35,1,23,-33,5
34,20,12,4,39,-2,22,-32,5
41,17,13,6,40,0,20,-33,5
40,21,12,-2,39,3,22,-34,5
41,14,12,-1,46,0,27,-35,5
38,10,6,-1,42,2,30,-36,5
42,16,9,-1,36,1,24,-36,5
34,14,8,-1,47,1,23,-36,5
40,18,11,-1,43,0,30,-35,5
36,18,5,-1,47,1,24,-35,5
31,12,6,-1,43,-2,29,-35,5
-1,10,5,-1,42,-2,28,-36,5
29,10,7,-1,44,0,24,-35,5
32,8,12,-1,43,0,24,-35,5
24,13,7,0,45,-1,28,-38,5
23,15,7,1,43,0,21,-40,5
28,13,7,1,48,0,21,-40,5
29,13,5,2,48,2,28,-39,5
29,14,5,2,54,1,22,-38,5
30,13,8,4,44,1,29,-38,5
32,17,6,4,48,-2,29,-37,5
24,16,5,4,49,0,24,-36,5
30,16,9,4,47,0,27,-35,5
31,12,8,4,46,-1,30,-36,5
28,9,8,1,42,0,17,-37,5
33,14,3,2,54,-1,31,-38,5
30,10,6,2,51,-1,30,-38,5
33,10,8,2,49,1,24,-35,5
30,10,7,2,55,-1,21,-33,5
31,12,5,2,49,0,28,-32,5
33,12,8,2,47,-1,18,-31,5
31,11,8,3,50,0,23,-32,5
31,15,7,3,51,-1,24,-32,5
28,12,9,3,47,0,20,-33,5
32,15,6,1,48,1,27,-35,5
31,10,2,1,47,0,26,-36,5
34,20,10,1,41,0,25,-37,5
29,16,5,1,41,-2,30,-39,5
34,16,5,1,42,-1,17,-39,5
32,8,7,1,41,-1,29,-37,5
29,14,10,1,44,1,25,-38,5
29,19,7,1,43,3,25,-40,5
38,15,11,2,46,4,27,-39,5
33,18,6,2,41,2,22,-39,5
32,18,13,2,43,1,26,-40,5
30,20,13,2,41,2,28,-40,5
32,16,13,6,41,4,29,-39,5
34,18,11,6,29,6,23,-38,5
28,14,3,5,33,5,20,-37,5
35,13,12,7,41,5,36,-38,5
32,15,14,6,43,6,32,-36,5
29,18,7,5,42,8,17,-34,5
32,16,8,5,42,3,28,-33,5
31,20,11,6,41,5,30,-34,5
33,15,11,6,50,8,27,-35,5
39,17,13,12,46,4,29,-35,5
31,17,11,12,48,4,28,-35,5
34,17,10,12,42,9,26,-36,5
33,19,8,6,43,5,28,-36,5
38,16,7,6,-1,2,20,-35,5
36,14,12,7,40,6,29,-36,5
38,17,12,7,35,2,24,-35,5
32,24,8,8,38,5,32,-35,5
31,14,10,7,40,4,25,-34,5
31,18,12,7,42,0,30,-35,5
23,16,8,7,38,-1,29,-35,5
36,16,7,7,39,3,28,-34,5
27,7,6,7,39,1,28,-33,5
31,14,12,1,40,0,28,-33,5
30,12,11,1,35,0,28,-33,5
28,10,11,1,29,2,27,-33,5
27,10,11,1,35,2,25,-33,5
23,16,7,1,37,2,30,-33,5
35,14,7,4,41,1,31,-34,5
35,16,10,4,44,1,32,-33,5
28,20,7,4,42,-1,33,-34,5
32,15,11,4,41,0,29,-34,5
28,12,8,3,41,-1,32,-33,5
18,12,9,2,41,0,32,-33,5
29,17,3,2,43,0,38,-32,5
32,10,12,2,44,0,38,-31,5
29,12,7,2,45,0,35,-31,5
23,10,6,2,40,0,35,-33,5
31,16,7,2,45,0,32,-34,5
33,11,9,3,37,3,29,-36,5
35,19,12,3,39,3,33,-36,5
34,13,6,3,40,3,42,-36,5
28,19,10,3,41,1,38,-35,5
34,21,10,3,38,1,33,-36,5
37,16,10,3,42,4,31,-35,5
36,16,9,3,37,3,29,-36,5
33,24,15,3,41,5,31,-36,5
37,19,1,3,43,4,24,-35,5
42,19,9,3,37,3,32,-35,5
38,15,13,3,38,5,27,-35,5
36,19,10,4,40,0,24,-36,5
34,19,10,4,44,2,21,-37,5
37,21,13,9,42,6,29,-37,5
35,22,13,6,40,4,24,-37,5
43,20,10,7,45,6,21,-36,5
40,12,10,7,42,7,22,-36,5
41,23,9,6,43,1,18,-34,5
35,13,8,1,43,1,22,-34,5
35,10,3,-1,48,0,22,-33,5
31,10,3,-1,46,0,28,-33,5
30,16,6,0,44,2,23,-35,5
31,15,10,0,38,0,28,-36,5
31,10,10,0,42,-1,26,-36,5
28,15,9,0,43,-1,27,-35,5
25,11,9,4,45,3,30,-36,5
26,16,13,4,36,2,27,-39,5
31,11,6,4,45,1,29,-39,5
27,17,11,4,40,0,28,-37,5
29,13,3,2,42,0,29,-37,5
30,9,6,2,51,0,28,-38,5
28,15,9,4,45,1,31,-40,5
29,10,11,3,47,1,28,-38,5
27,11,11,3,50,1,33,-37,5
33,14,8,0,52,1,31,-37,5
28,6,9,0,53,0,31,-37,5
30,4,9,0,53,1,28,-37,5
29,4,10,2,52,1,28,-37,5
30,11,7,2,52,1,31,-37,5
28,5,11,2,50,0,23,-38,5
36,12,7,2,48,-1,31,-38,5
26,14,13,2,50,0,29,-38,5
32,12,5,4,40,1,31,-38,5
30,12,10,4,41,-2,28,-36,5
33,16,15,4,47,-1,29,-37,5
35,11,6,4,46,-1,28,-39,5
34,12,9,5,40,0,25,-40,5
39,16,16,5,41,4,29,-41,5
39,14,12,4,42,3,21,-41,5
41,13,12,4,41,-1,23,-41,5
36,14,10,1,42,3,24,-40,5
32,18,8,4,38,2,24,-40,5
35,16,9,4,42,4,28,-40,5
33,20,8,6,45,2,22,-38,5
39,18,14,8,43,3,20,-38,5
27,19,15,8,44,2,32,-37,5
32,21,7,8,45,2,26,-37,5
39,17,14,8,47,2,31,-36,5
33,14,16,7,45,0,30,-35,5
32,15,16,7,42,1,29,-34,5
36,11,10,7,42,4,24,-35,5
40,19,14,8,44,4,29,-37,5
38,20,20,8,42,1,23,-38,5
38,18,14,6,34,3,24,-37,5
39,24,19,9,39,4,26,-36,5
26,13,10,4,29,-1,21,-35,5
31,21,7,3,27,4,25,-33,5
32,16,10,5,26,5,27,-33,5
32,7,10,5,30,6,25,-33,5
23,25,14,8,29,4,25,-35,5
30,20,14,8,28,1,30,-35,5
23,13,14,5,24,0,20,-36,5
27,20,12,5,18,2,24,-36,5
20,22,15,4,20,3,27,-38,5
26,19,13,6,20,4,29,-37,5
21,17,11,2,16,1,23,-37,5
19,20,8,-2,22,3,16,-38,5
21,23,6,1,29,8,24,-37,5
22,17,9,1,23,8,28,-37,5
27,22,6,7,20,10,32,-37,5
28,18,13,5,21,9,29,-37,5
31,21,13,5,21,3,30,-37,5
32,19,13,7,28,3,29,-36,5
29,18,16,2,33,-1,26,-36,5
31,20,14,2,28,-1,25,-37,5
27,26,12,6,31,2,27,-37,5
36,22,14,8,34,6,28,-36,5
28,20,14,5,26,5,22,-35,5
32,22,14,5,31,5,22,-34,5
34,26,17,10,32,1,29,-33,5
37,23,10,5,33,2,31,-33,5
37,16,17,5,33,5,28,-33,5
32,21,19,4,36,5,17,-33,5
32,19,14,3,38,3,25,-33,5
36,11,14,2,39,1,24,-34,5
38,16,7,3,33,1,25,-34,5
37,16,11,3,41,0,29,-35,5
36,18,6,3,31,0,27,-35,5
30,12,6,3,39,-2,28,-36,5
35,12,5,3,35,4,29,-36,5
42,14,5,1,40,2,32,-36,5
38,14,4,1,43,1,27,-37,5
36,16,11,1,37,1,21,-37,5
33,18,6,2,42,3,27,-37,5
27,5,4,0,39,-2,26,-37,5
40,11,6,1,43,4,21,-36,5
34,13,5,1,41,2,23,-35,5
30,16,2,1,48,0,23,-35,5
29,13,3,2,41,2,27,-36,5
23,16,7,2,41,1,17,-36,5
28,5,10,2,46,0,25,-36,5
31,6,8,0,42,4,22,-37,5
29,13,9,0,41,0,23,-39,5
31,10,11,2,44,0,23,-38,5
25,13,9,2,46,0,28,-37,5
29,6,5,2,46,-1,26,-39,5
23,11,8,2,42,-2,23,-39,5
21,10,7,2,45,-1,27,-40,5
31,14,4,-1,39,0,26,-38,5
33,9,7,1,52,0,30,-39,5
34,12,8,1,42,-2,18,-38,5
33,12,6,1,46,-1,29,-37,5
35,3,5,1,46,-2,27,-36,5
26,15,5,3,34,2,28,-37,5
30,10,8,3,43,1,28,-39,5
29,18,5,6,39,4,29,-41,5
38,18,12,6,41,2,22,-40,5
35,10,6,6,40,1,27,-40,5
31,8,14,0,42,3,27,-39,5
34,15,9,4,37,3,22,-38,5
32,17,12,6,40,5,26,-38,5
32,14,12,6,34,6,29,-38,5
31,15,5,5,46,5,20,-37,5
32,15,4,5,44,3,23,-36,5
34,15,11,5,47,2,29,-36,5
40,16,14,5,41,1,28,-37,5
31,19,9,5,41,-2,25,-37,5
37,22,16,6,42,2,29,-37,5
37,18,9,4,42,5,27,-37,5
41,21,15,4,42,3,21,-37,5
41,23,10,2,42,2,28,-37,5
33,23,11,3,44,6,33,-37,5
40,23,14,3,44,6,29,-36,5
32,15,18,-2,33,0,21,-35,5
29,18,15,-1,34,2,24,-34,5
31,23,16,10,27,3,24,-34,5
27,26,15,1,26,3,29,-35,5
24,22,16,3,26,1,26,-35,5
27,15,9,2,25,2,29,-36,5
23,17,9,3,21,3,14,-37,5
29,20,10,8,20,5,22,-36,5
26,24,6,5,24,4,26,-37,5
26,26,11,4,25,9,17,-38,5
17,29,13,5,15,6,25,-38,5
21,25,12,-4,16,3,24,-38,5
17,17,11,-7,15,1,13,-37,5
26,24,3,2,26,2,18,-37,5
25,12,8,1,22,2,5,-37,5
30,15,9,2,21,-1,23,-37,5
28,31,15,5,28,6,36,-38,5
36,24,21,5,29,4,29,-37,5
27,28,19,4,31,6,29,-36,5
34,23,13,4,33,6,27,-36,5
34,17,12,0,32,4,23,-36,5
34,20,14,7,30,1,32,-34,5
31,20,13,5,30,3,21,-33,5
37,9,12,4,33,1,27,-32,5
37,17,17,5,36,1,21,-32,5
35,17,13,8,40,5,29,-33,5
40,19,12,8,45,3,27,-34,5
39,19,9,8,42,3,26,-34,5
46,21,13,5,44,3,29,-36,5
41,18,12,5,39,4,28,-35,5
42,20,1,5,41,2,29,-36,5
39,16,11,5,45,2,24,-36,5
37,7,14,5,43,2,29,-37,5
39,18,9,5,46,2,26,-37,5
36,21,9,6,39,4,25,-37,5
40,16,13,6,42,4,29,-37,5
33,16,13,3,42,0,8,-37,5
31,11,14,3,38,0,19,-37,5
33,25,12,5,39,5,27,-36,5
33,22,11,12,32,4,24,-36,5
31,16,14,9,35,4,17,-35,5
33,18,15,7,27,3,25,-34,5
24,22,8,1,16,1,17,-35,5
27,26,20,5,24,1,29,-35,5
26,17,9,6,27,0,26,-35,5
25,18,12,3,24,1,26,-36,5
33,28,20,3,26,2,25,-38,4
35,32,16,3,21,3,23,-38,4
33,25,17,3,25,5,16,-38,4
41,21,17,5,29,3,23,-39,4
42,26,22,6,31,2,23,-41,4
42,19,8,6,27,1,24,-39,4
41,28,16,12,20,9,26,-37,4
49,27,18,14,32,7,17,-36,4
51,23,14,14,34,4,23,-35,4
53,29,12,14,26,5,29,-35,4
50,27,15,13,25,4,18,-35,4
55,25,13,7,32,4,14,-35,4
54,23,15,7,30,1,22,-36,4
56,20,10,7,35,4,12,-35,4
55,37,24,11,36,8,17,-38,4
54,34,20,9,29,11,13,-38,4
44,29,12,7,30,7,15,-38,4
54,31,12,7,25,5,18,-38,4
51,22,14,9,32,6,20,-38,4
50,27,15,6,30,9,22,-37,4
38,23,18,8,27,6,17,-37,4
40,28,12,8,15,8,18,-37,4
37,20,19,10,20,7,20,-36,4
39,23,11,16,25,9,18,-36,4
38,24,11,7,21,9,9,-36,4
39,29,23,10,23,8,27,-37,4
40,31,16,10,26,10,29,-37,4
39,29,18,12,26,8,18,-37,4
26,24,15,1,21,5,23,-37,4
33,30,18,2,18,1,19,-38,4
29,28,23,9,21,4,22,-37,4
36,31,26,11,18,7,26,-37,4
36,22,15,6,18,1,20,-37,4
37,20,11,9,20,4,13,-37,4
34,21,6,9,17,6,18,-37,4
30,17,13,8,15,1,19,-37,4
32,15,15,8,21,-1,16,-38,4
28,21,12,8,18,-2,12,-39,4
43,27,20,8,21,5,17,-39,4
35,31,18,8,25,11,19,-39,4
39,31,22,7,26,7,23,-37,4
39,32,20,5,27,4,15,-38,4
42,24,19,5,26,7,22,-37,4
41,27,13,4,24,5,24,-36,4
39,17,11,4,28,1,22,-36,4
41,17,11,6,30,7,18,-36,4
40,19,14,5,26,3,18,-35,4
45,22,15,2,25,5,25,-35,4
48,30,16,4,32,3,23,-34,4
53,21,16,4,30,2,23,-33,4
48,26,17,5,27,4,15,-34,4
52,23,17,5,26,4,23,-34,4
56,32,16,6,31,10,16,-35,4
58,31,14,6,34,10,25,-36,4
55,20,13,13,29,7,18,-37,4
54,28,17,13,29,7,17,-38,4
51,21,15,10,32,7,17,-39,4
57,20,15,10,32,5,17,-39,4
55,17,12,4,35,6,20,-39,4
53,22,8,1,25,6,14,-38,4
54,26,17,10,25,6,25,-37,4
51,17,15,9,29,10,4,-36,4
46,27,6,9,28,8,9,-36,4
52,26,18,7,35,5,21,-35,4
49,23,16,9,27,9,12,-34,4
46,29,17,9,32,8,19,-33,4
41,32,15,9,30,4,17,-33,4
40,25,17,13,20,3,20,-34,4
41,24,22,9,27,9,27,-33,4
35,28,21,6,25,4,26,-35,4
31,25,18,4,24,7,23,-37,4
26,19,17,0,15,2,22,-38,4
33,30,19,5,30,7,27,-42,4
28,29,21,3,26,5,28,-45,4
26,30,13,2,25,7,22,-42,4
34,26,18,2,13,5,20,-40,4
26,25,16,1,15,9,11,-38,4
35,29,14,1,22,9,11,-37,4
41,31,14,4,24,6,15,-37,4
39,25,7,4,17,2,25,-37,4
36,25,9,4,26,3,21,-36,4
46,26,10,4,27,5,24,-36,4
46,25,12,4,25,6,11,-36,4
47,20,8,4,23,6,18,-37,4
45,19,17,4,26,4,20,-36,4
45,23,13,7,29,13,17,-36,4
50,18,12,7,26,5,17,-36,4
51,25,7,6,24,6,12,-36,4
52,20,7,6,30,7,12,-36,4
53,23,16,6,33,4,19,-36,4
52,25,6,6,29,3,21,-34,4
51,22,9,6,31,6,18,-36,4
53,23,12,1,38,6,25,-35,4
54,24,12,4,37,3,19,-35,4
59,25,11,2,39,17,12,-37,4
59,33,16,8,36,7,16,-38,4
51,29,16,8,25,13,13,-37,4
57,29,7,8,23,12,13,-37,4
47,23,3,4,25,8,13,-37,4
47,28,15,7,32,8,18,-36,4
46,28,16,7,28,7,19,-35,4
33,24,12,16,33,5,25,-35,4
42,28,13,8,25,6,22,-35,4
40,22,13,11,21,6,24,-35,4
31,27,11,10,27,11,23,-35,4
32,26,12,9,22,5,26,-36,4
32,23,11,3,18,0,21,-36,4
28,21,11,3,19,2,9,-38,4
29,23,13,3,14,5,19,-38,4
34,27,22,10,19,8,24,-38,4
36,23,17,12,29,11,23,-37,4
30,28,22,12,23,8,23,-38,4
27,28,17,10,16,5,28,-38,4
36,25,14,10,22,6,18,-37,4
38,19,8,10,23,2,23,-38,4
38,19,13,10,17,0,10,-38,4
37,23,13,10,22,-1,17,-41,4
37,25,16,10,24,-2,19,-41,4
47,35,24,10,23,7,26,-39,4
49,30,17,11,17,12,16,-38,4
42,22,12,7,16,9,8,-38,4
44,25,17,12,25,8,24,-36,4
44,25,16,14,30,6,28,-36,4
39,25,11,8,25,6,21,-36,4
49,22,14,9,28,8,17,-36,4
47,21,11,6,21,5,15,-36,4
48,26,10,3,25,5,17,-36,4
50,17,9,3,28,5,14,-37,4
51,23,10,6,31,8,23,-36,4
57,30,16,6,33,4,12,-36,4
53,23,9,2,22,4,13,-35,4
53,16,12,6,-3,8,16,-35,4
54,18,14,6,35,2,18,-35,4
53,24,9,6,35,0,15,-36,4
52,29,19,6,34,5,18,-38,4
57,28,13,6,30,6,18,-38,4
54,30,10,6,28,10,15,-36,4
50,25,14,5,21,6,25,-37,4
55,30,21,8,28,10,26,-36,4
40,31,18,9,24,6,20,-35,4
43,28,14,9,26,9,18,-36,4
39,20,4,17,27,9,21,-37,4
35,26,14,16,31,7,15,-36,4
44,30,19,19,23,11,23,-36,4
37,28,15,11,26,7,28,-36,4
39,30,16,12,27,6,23,-37,4
33,27,24,4,26,2,19,-36,4
35,29,15,6,10,1,11,-38,4
36,28,19,10,21,7,18,-38,4
44,33,19,8,27,5,22,-36,4
37,26,10,8,25,9,23,-36,4
39,18,12,11,25,12,20,-37,4
37,21,15,5,20,8,12,-37,4
39,25,18,9,29,5,28,-39,4
42,28,17,11,29,7,16,-41,4
42,28,16,7,32,3,25,-40,4
43,16,18,6,31,3,20,-41,4
42,17,17,6,32,5,25,-38,4
47,24,12,6,27,5,25,-36,4
48,32,12,6,23,5,14,-34,4
52,29,15,6,25,7,23,-34,4
52,27,13,6,28,2,21,-34,4
54,23,13,5,35,2,20,-34,4
45,24,10,5,32,6,16,-34,4
49,23,10,5,39,3,18,-35,4
48,24,10,5,37,2,19,-36,4
56,31,16,5,35,2,17,-37,4
59,27,10,4,32,5,18,-38,4
53,23,14,6,25,9,17,-36,4
45,28,14,11,33,3,11,-36,4
44,26,10,11,22,1,20,-35,4
36,17,12,8,26,5,19,-36,4
40,22,16,11,21,8,22,-36,4
36,23,16,11,31,7,23,-36,4
35,17,7,10,12,8,15,-36,4
33,23,16,9,22,4,16,-36,4
33,26,10,11,23,4,17,-36,4
36,21,20,17,23,10,29,-36,4
34,28,18,15,20,10,26,-37,4
35,26,16,3,14,8,18,-37,4
28,27,17,9,27,6,28,-40,4
31,21,11,10,25,6,13,-40,4
36,22,11,8,17,2,23,-39,4
36,29,26,9,28,9,27,-39,4
29,17,18,16,15,5,23,-39,4
25,26,12,16,14,9,14,-38,4
31,24,4,12,13,7,11,-38,4
39,28,22,19,18,5,20,-37,4
43,30,17,21,26,10,19,-37,4
43,34,15,21,27,7,19,-36,4
36,28,16,21,30,7,19,-37,4
39,28,14,21,24,2,25,-37,4
46,24,19,21,27,6,25,-37,4
41,23,19,10,29,9,22,-37,4
48,27,14,10,29,8,22,-37,4
39,22,13,10,27,7,24,-36,4
48,23,13,9,30,5,17,-36,4
44,28,16,6,30,8,16,-36,4
46,24,16,6,27,8,17,-36,4
49,26,6,9,28,5,14,-37,4
51,17,14,9,31,-5,15,-36,4
53,25,14,9,31,2,19,-35,4
48,31,9,17,34,9,18,-35,4
46,22,18,17,30,4,11,-34,4
41,26,14,12,28,7,19,-33,4
37,30,12,11,23,2,19,-34,4
43,27,22,8,23,5,24,-33,4
30,29,22,8,22,8,16,-33,4
32,27,19,5,20,5,23,-36,4
31,28,23,5,21,0,27,-38,4
35,29,19,11,31,3,17,-44,4
30,25,13,5,18,3,18,-46,4
31,26,15,9,18,5,17,-41,4
32,25,17,9,20,3,17,-40,4
27,22,23,5,17,4,17,-38,4
24,26,22,12,19,2,25,-38,4
30,22,15,8,12,7,11,-39,4
22,29,12,5,11,6,8,-38,4
41,32,16,12,20,6,14,-38,4
36,32,18,12,24,7,22,-37,4
43,37,22,6,22,10,24,-37,4
42,26,19,6,30,7,27,-36,4
41,22,11,4,20,6,18,-37,4
40,22,11,4,26,4,20,-36,4
38,28,10,4,24,5,20,-36,4
47,28,10,4,24,6,6,-36,4
47,24,15,6,27,7,22,-36,4
46,26,11,5,31,10,17,-36,4
48,21,12,5,30,8,21,-37,4
46,23,16,5,29,5,21,-36,4
46,23,11,9,29,4,19,-36,4
52,24,13,7,29,7,16,-37,4
55,30,14,8,30,7,14,-38,4
51,30,20,8,28,12,14,-37,4
49,23,15,8,31,6,9,-36,4
52,25,18,10,33,7,17,-34,4
40,26,9,14,33,8,11,-33,4
40,20,14,14,37,8,21,-33,4
33,31,14,10,34,6,18,-33,4
44,22,27,14,22,6,24,-33,4
38,35,21,8,23,9,22,-33,4
40,33,22,8,33,7,20,-34,4
34,26,13,5,20,5,23,-38,4
36,28,22,5,31,4,24,-41,4
31,32,20,5,28,6,24,-44,4
28,27,18,6,26,1,19,-46,4
27,27,22,4,15,1,22,-41,4
29,22,23,4,19,7,18,-39,4
35,25,24,12,26,5,25,-38,4
38,26,12,12,13,10,18,-39,4
34,22,9,9,19,6,10,-38,4
32,26,13,8,21,0,10,-38,4
34,29,18,16,21,8,16,-37,4
42,35,24,16,26,13,24,-37,4
45,31,22,9,27,6,18,-36,4
44,26,13,9,28,6,18,-36,4
44,22,20,9,24,9,24,-36,4
45,23,15,9,28,7,20,-36,4
44,25,16,11,23,9,23,-36,4
40,29,10,10,28,6,14,-36,4
50,29,16,10,27,7,17,-36,4
49,27,14,10,30,8,19,-36,4
45,27,14,3,28,3,21,-36,4
54,25,16,3,27,7,19,-37,4
48,29,19,3,24,9,10,-38,4
47,22,14,1,17,12,14,-37,4
37,27,19,7,19,10,18,-36,4
36,33,23,7,29,5,16,-36,4
39,29,15,9,23,8,26,-36,4
39,28,9,7,19,5,24,-36,4
37,27,10,13,21,5,25,-36,4
40,27,15,6,26,5,16,-36,4
33,25,10,3,27,5,16,-35,4
34,25,13,5,29,4,24,-36,4
31,23,11,9,23,3,20,-35,4
30,25,11,5,22,4,14,-35,4
36,23,9,3,19,0,13,-35,4
31,24,12,12,23,5,17,-35,4
32,24,14,15,18,4,22,-36,4
38,21,16,8,23,4,22,-35,4
34,28,14,6,17,8,24,-36,4
37,23,12,6,25,9,23,-37,4
32,26,20,4,19,2,25,-39,4
32,16,15,2,24,3,18,-39,4
32,24,18,6,22,6,16,-39,4
