@relation Dataset

@attribute AN1 numeric
@attribute AN2 numeric
@attribute AN3 numeric
@attribute AN4 numeric
@attribute AN5 numeric
@attribute AN6 numeric
@attribute MGY numeric
@attribute MGZ numeric
@attribute class {1,2,3,4,5}

@data
6,27,27,11,3,8,-1,-34,1
5,27,23,10,2,7,-4,-34,1
5,27,22,9,2,7,-5,-34,1
6,25,24,9,1,6,-5,-33,1
5,25,26,9,2,13,-5,-34,1
4,24,25,9,1,7,-5,-33,1
6,26,26,9,2,7,-5,-34,1
1,25,26,8,0,6,-7,-34,1
6,25,26,8,1,6,-6,-34,1
8,27,25,10,2,8,-3,-34,1
5,28,27,11,1,7,-4,-33,1
14,33,35,16,2,13,-4,-33,1
11,32,34,10,-2,15,-6,-33,1
11,26,35,15,4,9,-4,-34,1
15,29,35,11,2,8,-2,-34,1
10,28,38,15,1,7,-7,-34,1
11,24,36,13,3,5,-5,-34,1
11,25,34,15,4,7,-5,-35,1
11,26,30,5,1,3,-6,-34,1
5,28,38,16,0,3,-6,-34,1
16,34,41,14,2,17,-2,-33,1
7,19,33,12,-9,2,-10,-30,1
9,28,35,12,-11,4,-10,-30,1
12,33,29,16,-5,12,-8,-31,1
9,20,40,7,-8,12,-10,-33,1
4,17,28,12,-9,10,-11,-35,1
2,17,27,6,-4,6,-12,-35,1
3,28,40,12,-6,11,-6,-35,1
4,23,30,5,-4,13,-13,-35,1
1,22,28,14,-3,4,-9,-35,1
0,16,31,11,-5,5,-7,-34,1
11,27,42,16,-2,15,-3,-35,1
11,27,37,16,3,11,-8,-34,1
5,23,34,16,0,7,-9,-34,1
5,22,34,10,1,10,-6,-33,1
6,21,39,11,2,6,-8,-32,1
-1,18,36,9,0,0,-10,-32,1
5,22,34,5,-2,1,-11,-33,1
5,23,34,6,1,2,-10,-32,1
6,23,40,6,0,3,-9,-32,1
-2,22,34,5,-5,1,-10,-32,1
5,27,40,9,-3,6,-5,-33,1
4,31,36,13,-4,8,-4,-35,1
10,25,43,12,-5,8,-5,-35,1
9,29,44,10,1,8,-6,-34,1
12,31,36,13,1,6,0,-31,1
12,27,33,10,-4,5,-9,-29,1
14,33,38,17,2,6,-4,-32,1
13,31,38,15,5,11,0,-31,1
14,27,32,13,4,8,0,-31,1
14,24,35,6,0,10,-4,-30,1
5,34,34,10,-3,12,-4,-30,1
10,27,38,11,-2,3,-6,-31,1
11,23,30,12,-1,6,-8,-32,1
12,26,30,15,1,7,-9,-33,1
7,25,30,11,0,8,-7,-33,1
11,21,32,17,0,10,-7,-31,1
12,31,26,6,-1,6,-4,-34,1
13,19,32,10,4,9,-3,-34,1
8,24,27,15,0,9,0,-31,1
12,27,18,24,2,4,1,-31,1
14,31,32,22,9,12,3,-31,1
13,33,31,23,8,12,5,-31,1
14,33,31,23,8,12,3,-31,1
13,29,27,21,4,9,0,-31,1
12,28,23,22,4,9,-1,-30,1
13,29,24,22,3,9,2,-31,1
13,29,23,22,2,9,0,-31,1
14,28,24,22,2,10,0,-31,1
13,28,23,22,2,10,0,-30,1
7,28,30,20,6,9,-3,-31,1
14,33,38,24,7,10,-1,-32,1
11,28,38,3,-1,4,-7,-32,1
10,28,42,18,-3,9,-1,-31,1
