@relation Dataset-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P30.0-V

@attribute AN0 numeric
@attribute AN1 numeric
@attribute AN2 numeric
@attribute AN3 numeric
@attribute AN4 numeric
@attribute AN5 numeric
@attribute AN6 numeric
@attribute MGY numeric
@attribute MGZ numeric
@attribute class {1,2,3,4,5,6,7,8,9}

@data
29,10,-4,20,14,21,8,23,-17,1
21,11,-5,21,7,23,0,23,-27,1
35,14,-3,22,13,23,14,24,-25,1
28,4,2,10,9,16,3,19,-14,1
27,17,0,17,19,24,7,19,-27,1
29,17,4,25,13,19,10,18,-28,1
23,7,-5,15,3,16,3,24,-15,1
23,7,-3,13,9,16,7,23,-12,1
13,-1,-3,0,6,12,-8,20,-28,1
24,2,-12,9,5,17,3,22,-28,1
27,13,1,19,11,29,11,24,-12,1
73,6,-3,15,9,73,9,20,-17,1
22,1,-7,15,2,18,10,22,-24,1
24,17,-6,13,10,19,11,25,-18,1
27,10,5,13,13,16,12,19,-27,1
20,13,5,14,16,19,2,20,-26,1
28,8,-6,13,9,17,7,21,-26,1
15,6,4,20,10,25,3,19,-27,1
36,2,0,17,14,19,12,21,-25,1
7,-6,-10,-2,5,5,-11,19,-26,1
30,12,-6,8,11,22,0,22,-29,1
9,-3,-6,10,4,3,-12,19,-24,1
27,5,-3,14,8,29,4,28,-16,1
23,5,-7,6,2,20,16,24,-15,1
43,11,3,18,20,74,7,21,-13,1
31,8,-2,17,8,24,4,24,-18,1
11,-11,-12,2,3,6,-9,23,-23,1
20,12,0,16,11,21,10,24,-12,1
28,8,4,9,12,16,1,24,-28,1
20,11,-6,11,7,13,-2,21,-27,1
19,0,-10,16,5,12,-11,21,-18,1
26,3,-4,15,4,18,5,20,-27,1
25,7,-6,7,12,17,2,22,-15,1
17,0,-9,18,8,18,-4,25,-26,1
9,4,-6,13,5,14,-1,23,-16,1
13,1,-11,-3,8,7,-10,25,-25,1
-3,-9,-4,4,6,3,-14,24,-24,1
24,9,-4,16,8,24,5,27,-17,1
30,9,-4,19,4,21,12,19,-28,1
20,11,-5,13,13,19,11,21,-25,1
19,5,-8,10,7,11,2,24,-25,1
31,9,-2,5,2,14,7,22,-16,1
9,-6,-9,9,-1,6,-6,24,-23,1
29,17,1,14,18,18,5,21,-12,1
8,-7,-8,-3,2,1,-15,20,-26,1
36,12,2,19,15,22,-6,14,-21,1
13,2,0,7,6,9,-11,22,-25,1
22,14,-2,14,8,22,-1,18,-28,1
20,9,-5,14,6,18,5,27,-24,1
13,-1,-8,12,5,9,-8,24,-23,1
26,3,-2,16,5,17,2,22,-13,1
11,-10,-11,-2,2,4,-5,24,-24,1
1,0,-1,5,-1,6,-14,22,-25,1
19,7,-3,5,5,23,7,23,-26,1
6,-5,-2,6,-6,3,-8,26,-24,1
28,9,0,16,16,24,2,21,-27,1
31,2,-5,11,5,15,4,27,-23,1
28,10,2,18,9,23,10,23,-28,1
28,7,0,9,11,18,5,23,-12,1
26,10,5,21,14,19,11,21,-14,1
28,5,-4,19,6,21,8,25,-15,1
