zone,temp,light,presure,humidity,gravityX,gravityY,gravityZ,magX,magY,magZ,gravityMagnitude,magMagnitude,magEarthY,magEarthZ,latitude,longitude,rss0,rss1,rss2,rss3,rss4,rss5,rss6,rss7,rss8,rss9
1,0,16.416391,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,10.244797,45.824497,23.552757,-39.308426,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,16.416391,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,9.895895,45.824501,22.264549,-40.052151,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,16.416391,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,9.895895,46.273563,22.013449,-40.701977,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,16.416391,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,9.509879,46.273567,21.440794,-41.006527,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,17.812294,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,9.509879,46.273567,21.440794,-41.006527,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,17.812294,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,9.509879,47.345642,21.998451,-41.924671,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,17.812294,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,9.953277,47.345646,20.677408,-42.591724,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,19.609221,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,9.953277,47.345646,20.677408,-42.591724,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,19.609221,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,9.953277,48.256599,21.147192,-43.376209,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,19.609221,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,10.402837,48.256599,21.236734,-43.332439,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
