-87	-86	-75	-83	-47	16	-34	1
-87	-86	0	-82	0	16	-33	1
-87	-86	-77	-83	-43	17	-34	1
-87	-88	-77	-81	-43	17	-34	1
-87	-87	-76	-80	-44	17	-34	1
-89	-89	-79	-83	-43	18	-34	1
-89	-87	-74	-80	-40	17	-33	1
-88	-85	-70	-75	-38	12	-34	1
-88	-86	-66	-74	-47	15	-35	1
-88	-82	-69	-72	-50	20	-34	1
-87	-82	-69	-72	-46	21	-35	1
-89	-81	-68	-76	-47	22	-34	1
-88	-81	-68	-74	-47	23	-34	1
-88	-85	-68	-72	-47	23	-34	1
-88	-85	-70	-74	-47	22	-35	1
-88	-85	-69	-70	-54	22	-34	1
-88	-87	-68	-73	-48	22	-35	1
-88	-87	-69	-72	-51	22	-35	1
-88	-84	-64	-72	-50	21	-35	1
-88	-86	-70	-72	-53	22	-35	1
0	-85	-69	-74	-52	23	-34	1
0	-86	-68	-71	-50	23	-35	1
0	-87	-67	-72	-50	23	-35	1
0	-83	-73	-75	-50	23	-35	1
0	-86	-69	-72	-54	22	-35	1
0	-83	-66	-72	-50	23	-36	1
-88	-86	-68	-71	-53	25	-34	1
-88	-81	-68	-69	-53	25	-34	1
-88	-82	-69	-75	-54	25	-34	1
-88	-84	-66	-68	-52	24	-35	1
-88	-84	-73	-64	-57	24	-34	1
-88	-84	-70	-73	-59	25	-33	1
0	-81	-66	-72	-56	25	-34	1
-87	-83	-63	-72	-55	25	-33	1
-87	-86	-63	-72	-56	25	-34	1
-87	-83	-61	-77	-54	25	-34	1
-87	-81	-65	-70	-52	24	-34	1
-87	-85	-64	-69	-51	24	-33	1
0	-81	-59	-66	-53	23	-33	1
0	-82	-59	-66	-58	23	-33	1
-88	-81	-59	-65	-56	23	-34	1
-88	-78	-65	-70	-56	22	-33	1
-88	-82	-63	-59	-60	22	-34	1
-88	-80	-60	-70	-58	22	-34	1
-88	-75	-60	-64	-58	21	-33	1
0	-75	-66	-67	-58	22	-34	1
0	-75	-68	-70	-59	22	-34	1
0	-77	-62	-65	-60	22	-34	1
0	-76	-58	-63	-61	21	-34	1
0	-76	-67	-63	-59	23	-34	1
0	-77	-67	-63	-59	23	-34	1
0	-70	-59	-63	-59	24	-33	1
0	-71	-58	-62	-56	24	-34	1
0	-70	-59	-66	-55	24	-33	1
0	-84	-62	-68	-51	18	-34	1
0	-85	-63	-73	-47	19	-34	1
0	-83	-72	-70	-53	19	-33	1
0	-86	-73	-72	-50	20	-33	1
0	-85	-69	-73	-53	18	-33	1
0	-87	-69	-72	0	16	-34	1
0	-88	-70	-71	-51	17	-34	1
0	-86	-69	-69	-49	18	-34	1
0	-85	-73	-76	-46	19	-33	1
0	-82	-69	-73	-45	19	-33	1
0	-87	-68	-74	-48	18	-33	1
0	-85	-78	-74	-49	18	-33	1
-88	-85	-77	-75	-46	18	-33	1
-88	-85	-71	-73	-50	20	-33	1
-88	-86	-76	-79	-51	20	-33	1
-88	-88	-78	-78	-47	20	-32	1
-88	-88	-77	-76	-49	20	-33	1
-88	-88	-84	-74	-49	19	-33	1
-88	-87	-80	-74	-51	20	-34	1
-88	-87	-76	-75	-48	21	-34	1
-88	-87	-77	-74	-46	22	-33	1
-88	-87	-75	-79	-45	21	-33	1
0	-86	-71	-78	-49	21	-34	1
0	-88	-79	-77	-44	20	-35	1
0	-88	-77	-74	-44	20	-36	1
0	-88	-77	-74	-44	20	-36	1
0	-85	-74	-76	-45	20	-35	1
0	-85	-73	-75	-46	20	-35	1
0	-86	-74	-78	-47	21	-35	1
0	-86	-80	-75	-46	21	-34	1
0	-84	-72	-79	-43	20	-35	1
0	-85	-72	-77	-45	18	-36	1
