@relation Dataset-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P30.0-V

@attribute AN0 numeric
@attribute AN1 numeric
@attribute AN2 numeric
@attribute AN3 numeric
@attribute AN4 numeric
@attribute AN5 numeric
@attribute AN6 numeric
@attribute MGY numeric
@attribute MGZ numeric
@attribute class {1,2,3,4,5,6,7,8,9}

@data
8,21,-2,6,18,7,-6,24,-8,6
3,15,-8,2,16,1,-8,34,-16,6
3,22,-3,3,19,4,-7,21,-16,6
11,30,4,7,25,6,-4,22,-16,6
4,13,0,16,17,11,-4,23,-15,6
4,20,-3,17,16,7,-1,17,-13,6
15,28,2,16,36,7,-10,25,-19,6
14,34,5,9,30,12,-9,25,-16,6
18,28,4,7,26,8,2,29,-15,6
8,14,-2,-1,23,5,-5,35,-14,6
12,21,0,16,23,8,-12,22,-16,6
-4,8,1,3,15,4,-13,23,-13,6
6,24,-5,2,17,3,-3,23,-16,6
13,26,-1,2,40,6,-2,22,-16,6
3,5,-1,0,5,-1,-18,23,-15,6
11,15,-3,1,22,8,-2,20,-17,6
5,19,-4,4,14,1,-7,19,-11,6
11,29,9,0,37,6,-10,23,-17,6
10,29,6,18,27,7,-6,22,-16,6
2,4,-3,-5,5,-4,-19,23,-15,6
12,19,-10,8,15,6,-10,21,-16,6
14,19,-6,0,14,6,1,22,-13,6
12,23,1,15,25,10,6,22,-13,6
3,25,0,0,27,7,-14,17,-18,6
11,17,-4,2,9,5,-8,24,-12,6
15,12,3,10,30,10,-5,22,-17,6
-5,5,-13,-7,11,-6,-13,19,-10,6
8,25,-2,3,19,3,-1,21,-14,6
8,21,4,7,35,5,-5,25,-16,6
9,25,2,5,28,5,-9,19,-18,6
5,28,3,4,-2,9,-2,25,-18,6
15,35,3,13,40,14,-6,23,-16,6
16,34,4,11,32,10,-2,39,-21,6
12,31,5,9,38,5,-2,22,-17,6
15,22,-2,8,21,7,-5,30,-17,6
1,9,-5,3,9,-2,-14,19,-15,6
-9,29,-4,7,36,9,-7,22,-18,6
2,11,-8,0,10,-2,-15,19,-15,6
18,21,-1,3,-12,9,-12,30,-17,6
4,7,-12,6,-13,-3,-5,19,-11,6
9,27,6,8,25,7,-5,23,-18,6
13,12,0,6,18,2,-19,22,-14,6
14,22,-1,8,16,10,3,29,-17,6
11,30,-1,1,24,7,-8,21,-17,6
13,36,5,8,35,5,-4,23,-17,6
6,16,-4,12,22,8,-6,26,-18,6
3,12,-6,1,10,-1,-11,19,-14,6
5,31,1,18,22,8,-8,17,-18,6
19,23,3,11,23,10,-3,27,-17,6
16,20,3,9,23,13,10,24,-18,6
3,13,-6,9,12,3,-5,21,-11,6
10,19,-4,4,14,5,-6,24,-12,6
14,20,1,0,17,13,-8,17,-16,6
11,17,-3,4,16,8,-14,25,-9,6
2,32,5,9,26,7,-9,19,-17,6
20,16,-3,6,17,13,-5,28,-16,6
0,19,-5,1,20,5,-5,21,-12,6
12,36,3,13,31,9,-4,20,-18,6
17,24,1,8,21,9,-2,30,-16,6
16,38,2,8,32,9,4,24,-19,6
15,39,9,14,37,14,3,19,-18,6
5,23,4,8,30,6,1,21,-16,6
14,27,7,8,36,4,-15,24,-16,6
15,24,5,17,34,8,-2,22,-20,6
3,26,6,5,31,9,-6,24,-18,6
10,26,2,12,24,4,-14,20,-16,6
14,1,10,15,9,7,-12,25,-25,2
-2,-4,-8,-4,2,4,-26,26,-26,2
-1,2,-8,11,9,9,-15,25,-26,2
-12,-13,-14,-2,3,-7,-26,25,-24,2
7,-9,1,2,3,0,-22,28,-16,2
-12,2,-7,4,5,3,-26,22,-18,2
-8,-13,-10,-5,2,-5,-33,24,-19,2
7,2,-4,11,5,3,-25,27,-19,2
1,-8,-8,6,-3,0,-25,23,-13,2
2,-2,-1,-1,6,0,-15,25,-13,2
10,-6,3,18,7,6,-21,26,-19,2
-13,-2,-5,10,-2,7,-28,22,-26,2
1,-3,1,10,4,3,-20,24,-11,2
7,-2,-4,5,2,7,-9,22,-26,2
2,-6,-5,1,4,-3,-27,18,-26,2
-6,0,5,-4,5,-1,-23,26,-13,2
0,0,6,3,9,4,-12,18,-24,2
3,1,9,5,8,4,-15,26,-13,2
-2,-16,-3,5,-3,2,-19,23,-11,2
1,-4,-13,13,-5,6,-24,26,-25,2
-6,-2,3,9,13,4,-23,25,-11,2
-5,-1,9,7,7,2,-17,25,-27,2
-7,-1,6,-5,6,0,-19,26,-14,2
-8,-3,-6,4,2,-3,-22,28,-19,2
-7,-12,-17,-11,-6,-10,-36,23,-20,2
-15,-10,4,-4,8,-4,-31,23,-26,2
-3,-1,5,11,2,5,-21,25,-25,2
-2,5,12,14,17,3,-18,24,-12,2
5,1,17,16,13,11,-16,24,-26,2
5,12,8,17,19,12,-15,24,-19,2
-8,-7,-1,8,0,5,-20,24,-27,2
4,6,-14,5,4,2,-12,23,-23,2
-3,-4,12,13,1,0,-22,24,-27,2
0,-14,-9,-3,-7,8,-23,26,-25,2
-6,-10,2,3,-7,2,-17,22,-26,2
-1,-7,-12,3,-2,-6,-24,21,-25,2
-9,-2,-12,-4,7,-4,-26,21,-27,2
-5,-8,0,7,4,-4,-26,24,-13,2
-7,-9,0,3,1,2,-25,26,-24,2
5,3,-4,0,10,2,-17,21,-25,2
-1,-10,11,7,11,-2,-23,24,-23,2
-11,-9,-13,4,-9,-6,-32,26,-19,2
10,-8,-2,10,12,7,-11,20,-13,2
-4,-7,-2,6,1,0,-23,25,-17,2
-5,2,7,13,8,4,-14,25,-27,2
-10,-4,-12,-2,0,2,-30,27,-27,2
3,1,0,7,14,9,-17,23,-25,2
0,-7,-11,5,-4,2,-25,24,-13,2
6,12,-6,11,5,3,-15,24,-23,2
4,6,7,8,11,5,-21,26,-25,2
2,-11,-8,8,3,10,-31,24,-26,2
-4,0,11,-5,2,-2,-23,20,-27,2
1,4,2,9,13,4,-11,22,-27,2
-7,-9,3,7,8,5,-23,22,-25,2
-5,-7,1,7,9,2,-23,25,-18,2
0,1,5,7,6,0,-18,25,-19,2
-5,-5,12,11,11,7,-22,25,-26,2
6,1,7,12,12,3,-20,24,-12,2
-12,1,-9,2,5,1,-30,22,-17,2
-1,-4,12,7,16,4,-8,21,-25,2
-8,-14,5,-3,3,2,-19,23,-19,2
-3,0,17,11,11,8,-19,24,-23,2
5,-15,-6,13,9,5,-23,22,-11,2
6,-6,-10,4,-8,1,-21,26,-25,2
-24,0,-6,11,2,0,-30,26,-19,2
2,-4,-7,4,-6,3,-14,26,-24,2
-1,-10,-3,4,5,3,-16,23,-26,2
-4,58,-9,58,9,3,-23,22,-13,2
7,-4,-16,3,3,1,-14,24,-25,2
-3,-3,-2,7,12,6,-26,24,-13,2
14,3,20,8,20,10,-12,23,-16,2
-4,-9,-17,2,2,-2,-25,24,-23,2
-5,3,-13,10,0,1,-23,18,-15,2
5,6,2,12,13,8,-7,25,-26,2
-3,-5,1,10,11,6,-17,21,-25,2
11,1,11,13,12,11,-14,24,-26,2
13,4,19,6,20,10,-12,23,-15,2
2,2,-4,12,2,2,-29,27,-19,2
3,-2,-3,10,6,-1,-20,25,-16,2
-14,-12,-18,-12,-2,0,-33,23,-25,2
7,5,22,16,15,10,-12,25,-25,2
-5,-5,10,10,5,7,-20,27,-25,2
-5,-9,11,6,15,0,-19,24,-25,2
-12,-12,-19,-6,-1,-7,-34,25,-25,2
-1,-4,3,8,0,12,-21,25,-24,2
-5,-5,7,13,12,7,-17,22,-13,2
-5,-5,5,6,11,2,-22,23,-23,2
-4,-6,-2,10,3,2,-23,24,-25,2
-9,-7,-10,6,-4,-1,-25,24,-26,2
-10,-10,-8,6,5,6,-15,24,-27,2
5,0,5,15,17,10,-19,25,-25,2
-8,-4,-11,13,5,0,-16,24,-25,2
4,-7,-8,-1,-3,9,-15,25,-25,2
-2,-10,-9,-1,1,0,-20,26,-25,2
-1,-3,14,8,11,6,-21,25,-19,2
-6,4,-7,-5,9,-1,-17,22,-27,2
4,-11,-8,3,2,10,-23,25,-17,2
9,0,11,14,4,6,-17,27,-13,2
-9,-12,-13,2,-4,2,-34,22,-25,2
-2,-9,14,2,0,-4,-27,28,-13,2
-2,4,7,2,10,4,-22,23,-14,2
-2,-7,-9,2,1,2,-22,19,-20,2
2,-1,-5,0,4,2,-14,22,-26,2
-9,-18,-18,-14,4,-6,-29,24,-27,2
-9,-4,-11,0,11,0,-26,23,-26,2
10,3,14,11,17,5,-15,21,-17,2
-15,-10,-24,-9,2,-11,-29,23,-25,2
-2,2,23,8,16,3,-17,23,-13,2
-9,-4,15,5,11,2,-22,24,-24,2
0,-5,-5,9,5,4,-21,21,-12,2
5,3,17,14,14,7,-17,22,-26,2
8,-9,0,2,0,-1,-22,28,-16,2
0,-1,4,7,10,7,-15,24,-26,2
3,5,-9,0,4,2,-16,26,-24,2
0,2,13,3,10,3,-12,20,-26,2
3,-7,12,2,7,4,-18,22,-24,2
-8,-4,-12,2,-1,0,-25,22,-15,2
-6,-9,-7,7,9,2,-21,21,-18,2
-9,-5,5,7,8,2,-22,22,-27,2
6,-6,7,8,9,5,-19,23,-12,2
-9,-3,3,8,5,5,-20,28,-21,2
1,-1,16,-2,17,2,-21,24,-22,2
3,-6,-6,7,2,5,-25,27,-25,2
7,-3,21,11,13,9,-10,20,-26,2
-6,-14,-21,-13,-5,-7,-28,25,-25,2
6,3,16,9,10,5,-15,26,-26,2
4,-3,-1,10,17,5,-14,20,-26,2
-3,-10,1,2,11,2,-15,22,-26,2
-5,-8,-9,8,6,5,-15,26,-20,2
2,-8,6,16,14,12,-17,23,-12,2
-7,-5,-15,-4,-1,-2,-28,27,-26,2
-3,0,11,12,68,5,-21,24,-17,2
-9,-3,-9,1,7,3,-24,25,-26,2
-3,-7,6,12,11,3,-18,23,-11,2
-5,-10,-4,9,-1,10,-22,25,-24,2
-12,-18,-20,-6,-5,-4,-38,24,-25,2
10,3,14,9,16,6,-16,23,-15,2
-4,-6,-8,-1,4,1,-32,26,-27,2
-6,-7,-10,10,-1,-3,-23,26,-24,2
3,2,8,12,14,9,-17,27,-26,2
8,-16,13,16,18,7,-13,22,-16,2
9,-7,-1,9,-22,8,-16,26,-19,2
0,-11,-8,9,0,12,-24,25,-24,2
-3,2,-3,0,7,5,-18,25,-25,2
-2,-5,-11,-5,0,1,-20,22,-12,2
-9,-17,2,11,8,6,-27,25,-26,2
-6,-1,-6,11,6,2,-20,24,-26,2
2,-10,-2,2,1,-2,-20,23,-19,2
-5,-6,2,13,9,3,-18,25,-15,2
-6,-4,6,8,7,3,-24,25,-18,2
7,-1,15,14,9,7,-15,24,-21,2
-2,-9,4,-4,11,1,-26,24,-19,2
-13,-18,-10,-2,4,1,-21,23,-24,2
8,-6,-11,7,5,-2,-16,25,-25,2
-3,-3,-2,11,2,6,-21,24,-17,2
-1,-9,-15,1,6,-3,-30,26,-28,2
-2,-9,-12,3,2,4,-27,24,-17,2
-4,-5,5,9,5,2,-22,24,-24,2
-17,-19,-15,-1,-5,-4,-30,23,-25,2
1,-4,3,10,13,7,-16,25,-25,2
-2,2,-9,5,3,2,-20,23,-25,2
-17,-14,-12,-4,0,1,-33,23,-26,2
3,1,7,9,12,1,-13,23,-27,2
6,-1,10,4,15,4,-6,21,-26,2
-5,-12,2,7,11,-1,-27,24,-12,2
-17,-3,4,-2,8,0,-26,25,-20,2
